Date,IBM,AAPL,MSFT,INTC,HPQ
1996-12-17,28.694577,0.73569,6.825215,11.339732,6.640776
1996-12-18,29.969892,0.756126,7.060192,11.841297,6.971163
1996-12-19,29.875424,0.727516,7.252458,11.993947,6.888566
1996-12-20,29.21415,0.768387,7.145641,11.743161,6.805118
1996-12-23,29.143299,0.760213,7.156325,11.535997,6.755446
1996-12-24,29.426702,0.756126,7.252458,11.81949,6.772003
1996-12-26,29.426702,0.752039,7.30586,11.917618,6.85479
1996-12-27,29.308618,0.756126,7.19905,11.80859,6.838233
1996-12-30,29.025214,0.711167,7.134963,11.623225,6.821675
1996-12-31,28.623727,0.682557,7.060192,11.42151,6.656101
1997-01-02,28.954364,0.686644,6.974744,11.372447,6.672658
1997-01-03,30.06436,0.711167,7.23109,12.070276,6.871348
1997-01-06,30.465848,0.584465,7.209734,12.113891,7.152825
1997-01-07,30.867335,0.572203,7.263136,12.50642,7.219055
1997-01-08,30.206061,0.576291,7.124285,12.408284,7.036923
1997-01-09,30.583932,0.580378,7.038837,12.473705,7.020365
1997-01-10,30.796485,0.596726,7.19905,12.604548,7.152825
1997-01-13,30.961803,0.592639,7.156325,12.81172,7.235612
1997-01-14,31.555182,0.584465,7.295183,12.83352,7.152825
1997-01-15,31.103505,0.564029,7.23109,12.386477,7.202497
1997-01-16,31.268823,0.54768,7.348585,12.419191,7.202497
1997-01-17,31.221589,0.54768,7.444711,12.566384,7.152825
1997-01-20,31.552227,0.553811,7.754466,12.66997,7.05348
1997-01-21,31.741162,0.564029,8.117623,12.915299,7.152825
1997-01-22,29.851807,0.561985,8.320567,13.269663,7.11971
1997-01-23,28.67096,0.564029,8.096261,13.236956,6.887905
1997-01-24,28.434791,0.551768,8.197733,13.127921,6.871348
1997-01-27,27.537347,0.543593,8.213749,13.095206,6.78856
1997-01-28,28.482025,0.543593,8.171025,13.171535,6.722331
1997-01-29,29.544787,0.543593,8.309882,13.503114,6.805118
1997-01-30,29.710106,0.54768,8.640992,13.972119,7.086595
1997-01-31,29.639255,0.543593,8.715763,14.157546,6.970693
1997-02-03,29.261384,0.533375,8.74781,14.299343,6.904463
1997-02-04,29.025214,0.502722,8.81189,14.37569,6.887905
1997-02-05,28.104154,0.498634,8.406015,13.721258,6.722331
1997-02-06,27.64964,0.523157,8.299198,13.361316,6.78856
1997-02-07,28.170438,0.517027,8.576913,13.644911,6.871348
1997-02-10,27.034151,0.510896,8.352607,13.23043,6.507084
1997-02-11,27.507604,0.512939,8.416693,13.241341,6.722331
1997-02-12,27.460258,0.514983,8.534188,13.677629,6.722331
1997-02-13,27.720657,0.527245,8.544866,13.699443,6.705773
1997-02-14,27.460258,0.533375,8.363291,13.481299,6.672658
1997-02-18,27.507604,0.584465,8.320567,13.492203,6.912741
1997-02-19,27.199859,0.576291,8.331244,13.426767,7.517089
1997-02-20,26.750079,0.555855,8.138985,13.077737,7.401187
1997-02-21,26.063573,0.535419,8.117623,12.772335,7.384629
1997-02-24,27.247205,0.543593,8.555544,13.012286,7.483974
1997-02-25,27.74433,0.551768,8.502142,12.990479,7.815123
1997-02-26,27.815348,0.559942,8.566228,12.772335,7.798566
1997-02-27,27.081496,0.555855,8.213749,12.192889,7.533647
1997-02-28,27.223532,0.531332,8.331244,12.379676,7.434301
1997-03-03,27.483931,0.527245,8.502142,12.728707,7.533647
1997-03-04,27.436586,0.539506,8.470095,12.772335,7.616434
1997-03-05,27.554949,0.555855,8.619637,13.045011,7.732336
1997-03-06,27.768003,0.543593,8.352607,12.685078,7.666106
1997-03-07,27.412913,0.539506,8.267158,12.521466,7.434301
1997-03-10,27.673312,0.543593,8.544866,12.630538,7.483974
1997-03-11,27.64964,0.535419,8.406015,12.554191,7.334957
1997-03-12,27.436586,0.531332,8.438055,12.456023,7.235612
1997-03-13,27.057824,0.535419,8.512819,12.325136,7.368072
1997-03-14,27.199859,0.54155,8.459417,12.030646,7.334957
1997-03-17,26.418662,0.539506,8.58759,11.899759,7.368072
1997-03-18,26.39499,0.531332,8.512819,11.932477,7.417744
1997-03-19,26.110918,0.527245,8.267158,11.637987,7.334957
1997-03-20,25.921537,0.564029,8.203071,11.627075,7.550204
1997-03-21,25.092995,0.543593,8.032174,11.387117,7.533647
1997-03-24,25.897864,0.539506,7.701057,11.39802,7.549576
1997-03-25,25.732156,0.539506,7.71708,11.627075,7.433428
1997-03-26,26.560698,0.54768,8.053536,12.270596,7.400243
1997-03-27,25.94521,0.608988,8.010812,12.13971,7.300689
1997-03-31,25.992555,0.596726,7.834576,12.13971,7.068394
1997-04-01,25.897864,0.572203,7.968088,12.156073,6.935654
1997-04-02,25.329721,0.588552,7.861277,11.954291,6.719952
1997-04-03,24.832596,0.617162,8.128301,12.270596,6.719952
1997-04-04,24.477506,0.629424,8.048198,12.652352,7.002024
1997-04-07,25.092995,0.637598,8.192394,12.663255,6.968839
1997-04-08,25.874192,0.625337,8.395331,12.792781,7.035209
1997-04-09,25.211358,0.621249,8.373969,12.412394,6.836099
1997-04-10,25.187685,0.617162,8.267158,11.976106,6.653582
1997-04-11,25.258703,0.596726,8.117623,11.387117,6.587213
1997-04-14,25.850519,0.613075,8.320567,11.670704,6.587213
1997-04-15,26.110918,0.602857,8.299198,11.430746,6.653582
1997-04-16,26.0399,0.606944,8.395331,11.692519,6.70336
1997-04-17,26.087246,0.621249,8.384646,12.041549,6.753137
1997-04-18,26.466008,0.600814,9.196409,11.965195,6.620397
1997-04-21,26.016228,0.588552,9.196409,12.074275,6.50425
1997-04-22,26.513353,0.604901,9.452755,12.292419,6.70336
1997-04-23,26.963133,0.592639,9.837274,12.761424,6.554028
1997-04-24,29.09367,0.584465,9.751825,12.750513,6.670175
1997-04-25,28.5492,0.572203,9.709101,12.554191,6.57062
1997-04-28,28.478182,0.576291,9.815918,12.772335,6.537435
1997-04-29,29.993231,0.578334,10.168391,13.093113,6.852692
1997-04-30,30.395665,0.555855,10.382012,13.365882,6.968839
1997-05-01,30.561374,0.555855,10.339288,13.420441,6.935654
1997-05-02,30.70341,0.555855,10.317926,13.758675,7.217726
1997-05-05,31.460934,0.555855,10.269863,14.184206,7.333874
